                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.42221,                 1.0343,                0.98428,                0.59891,                0.89276,                0.72846,                0.68115,                0.37884,                  12.78,                 0.8526,              8.658e-05,              8.658e-05,              8.658e-05
                      2,                 0.4081,                0.99306,                0.97146,                0.56965,                0.90241,                0.72074,                0.65521,                0.40179,                 12.986,                0.86832,              0.0001695,              0.0001695,              0.0001695
                      3,                0.44752,                 1.0481,                0.98783,                0.58218,                0.86977,                 0.6994,                0.62949,                0.45951,                 10.692,                 0.8922,              0.0002453,              0.0002453,              0.0002453
                      4,                0.46712,                 1.1056,                 1.0092,                 0.6071,                0.86497,                0.77538,                0.70847,                0.42818,                 12.754,                0.88491,             0.00029344,             0.00029344,             0.00029344
                      5,                0.44911,                  1.023,                0.98244,                0.57425,                0.90811,                0.74927,                0.68572,                 0.4171,                 12.664,                0.87833,             0.00028025,             0.00028025,             0.00028025
                      6,                0.45554,                 1.0233,                0.98152,                0.58487,                0.87251,                0.70666,                0.64247,                0.43882,                 12.788,                0.88105,             0.00026707,             0.00026707,             0.00026707
                      7,                0.43338,                 0.9761,                0.97076,                0.58154,                0.91765,                0.75916,                0.69824,                0.39567,                 13.575,                 0.8595,             0.00025388,             0.00025388,             0.00025388
                      8,                0.43236,                 1.0522,                0.99424,                0.58033,                0.86098,                0.74386,                0.69169,                0.39569,                 11.291,                0.85656,             0.00024069,             0.00024069,             0.00024069
                      9,                0.44179,                 1.0087,                0.98983,                0.57555,                0.90264,                0.77283,                0.72194,                0.37696,                 12.902,                0.84507,             0.00022751,             0.00022751,             0.00022751
                     10,                0.42771,                 1.0138,                0.99723,                0.58761,                0.90041,                0.72952,                0.67844,                0.38322,                 11.761,                0.85008,             0.00021432,             0.00021432,             0.00021432
                     11,                0.42313,                0.98192,                0.98113,                0.60224,                0.87357,                0.74785,                0.68807,                0.37091,                 11.145,                0.83949,             0.00020113,             0.00020113,             0.00020113
                     12,                0.43227,                0.95731,                 0.9906,                0.60329,                0.85242,                0.71045,                0.65571,                0.39743,                 12.395,                0.85518,             0.00018795,             0.00018795,             0.00018795
                     13,                0.42068,                0.91454,                0.97386,                0.60483,                0.84988,                0.72709,                0.68017,                0.38077,                 11.988,                 0.8451,             0.00017476,             0.00017476,             0.00017476
                     14,                0.40675,                0.88963,                0.97143,                 0.6139,                0.84024,                0.75867,                0.69667,                  0.406,                 11.134,                0.85418,             0.00016157,             0.00016157,             0.00016157
                     15,                0.40869,                0.89322,                0.96979,                0.60105,                0.87482,                0.72788,                0.67275,                 0.3838,                 11.113,                0.85117,             0.00014838,             0.00014838,             0.00014838
                     16,                0.37431,                 1.0509,                0.94901,                0.60815,                0.86483,                0.72983,                0.67257,                0.41627,                 9.5415,                0.85633,              0.0001352,              0.0001352,              0.0001352
                     17,                0.34687,                0.98824,                0.93059,                0.58578,                0.85752,                0.70873,                0.65351,                0.38202,                 12.164,                0.84485,             0.00012201,             0.00012201,             0.00012201
                     18,                0.33824,                0.97971,                0.91947,                0.57403,                0.86295,                0.78549,                0.73832,                0.35956,                 10.713,                0.83303,             0.00010882,             0.00010882,             0.00010882
                     19,                0.32508,                0.92398,                0.90943,                 0.6002,                0.85209,                0.76183,                0.70581,                 0.3539,                 11.964,                0.83171,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     20,                 0.3309,                0.91416,                0.92549,                0.57351,                0.87491,                0.76166,                0.70831,                0.36702,                 11.684,                0.83083,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     21,                0.31084,                0.87426,                0.89208,                0.59725,                0.86265,                0.77456,                0.71818,                0.37061,                 12.359,                0.83226,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     22,                0.31298,                0.87257,                0.89693,                0.59528,                 0.8779,                0.74854,                0.69852,                 0.3466,                 11.933,                0.82466,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     23,                0.30387,                0.86616,                0.90153,                0.59098,                0.88974,                0.78921,                0.73122,                0.34997,                 11.419,                 0.8284,              4.289e-05,              4.289e-05,              4.289e-05
                     24,                0.30934,                0.86133,                0.90782,                0.58908,                0.89013,                0.77627,                0.71685,                0.35638,                 11.493,                0.83275,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     25,                0.30084,                0.83169,                0.89284,                0.58983,                0.88838,                0.77893,                0.72567,                0.35328,                 11.821,                0.83273,             1.6517e-05,             1.6517e-05,             1.6517e-05
